"Start.station.number","Start.station","bikes.rented"
31610,"Eastern Market / 7th & North Carolina Ave SE",36
31611,"13th & H St NE",36
31612,"D St & Maryland Ave NE",23
31613,"Eastern Market Metro / Pennsylvania Ave & 7th St SE",122
31614,"11th & H St NE",22
31615,"6th & H St NE",34
31616,"3rd & H St NE",48
31617,"Bladensburg Rd & Benning Rd NE",12
31618,"4th & East Capitol St NE",64
31619,"Lincoln Park / 13th & East Capitol St NE ",49
31620,"5th & F St NW",47
31621,"4th & D St NW / Judiciary Square",52
31622,"13th & D St NE",28
31623,"Columbus Circle / Union Station",173
31624,"North Capitol St & F St NW",84
31625,"3rd & G St SE",28
31626,"15th St & Massachusetts Ave SE",21
31627,"M St & Delaware Ave NE",50
31628,"1st & K St SE",48
31629,"8th & East Capitol St NE",31
31630,"15th & East Capitol St NE",14
31631,"8th & F St NE",31
31632,"15th & F St NE",12
31633,"Independence Ave & L'Enfant Plaza SW/DOE",27
31634,"3rd & Tingey St SE",51
31635,"Potomac Ave & 8th St SE",13
31636,"New Jersey Ave & N St NW/Dunbar HS",27
31637,"North Capitol St & G Pl NE",33
31638,"1st & H St NW",32
31639,"2nd & G St NE",47
31640,"Maryland Ave & E St NE",15
31641,"2nd St & Massachusetts Ave NE",43
31700,"Good Hope & Naylor Rd SE",0
31701,"Branch & Pennsylvania Ave SE",1
31702,"Randle Circle & Minnesota Ave SE",0
31703,"Minnesota Ave Metro/DOES",1
31704,"Nannie Helen Burroughs & Minnesota Ave NE",1
31705,"Benning Branch Library",0
31706,"Fairfax Village",1
31707,"Benning Rd & East Capitol St NE / Benning Rd Metro",1
31708,"Anacostia Ave & Benning Rd NE / River Terrace ",3
31709,"34th St & Minnesota Ave SE",0
31710,"Nannie Helen Burroughs Ave & 49th St NE",1
31711,"Deanwood Rec Center",1
31712,"Oklahoma Ave & D St NE",13
31800,"Alabama & MLK Ave SE",0
31801,"Anacostia Metro",5
31802,"Good Hope Rd & MLK Ave SE",5
31803,"Good Hope Rd & 14th St SE",1
31804,"Anacostia Library",4
31805,"Pennsylvania & Minnesota Ave SE",0
31806,"Congress Heights Metro",0
31807,"Pleasant St & MLK Ave SE",0
31811,"South Capitol & Atlantic St SW",0
31900,"Lee Hwy & N Woodstock St",0
31901,"Washington Blvd & N Frederick St",2
31902,"Wilson Blvd & N Illinois St ",1
31903,"Royal & Wilkes St",4
31904,"East Falls Church Metro/Sycamore St & 19th St N",0
31906,"Commonwealth Ave & Oak St",1
31908,"Radford & Osage St",0
31910,"Potomac Ave & Main Line Blvd",0
31913,"Commonwealth & E Monroe Ave",2
32000,"Norfolk Ave & Fairmont St",5
32001,"Fenton St & New York Ave ",3
32002,"Bethesda Ave & Arlington Rd",4
32003,"Montgomery Ave & Waverly St ",4
32004,"Fallsgrove Blvd & Fallsgrove Dr",0
32005,"Traville Gateway Dr & Gudelsky Dr",0
32006,"13th St & Eastern Ave",2
32007,"E Montgomery Ave & Maryland Ave",0
32008,"Cordell & Norfolk Ave",5
32009,"Frederick Ave & Horners Ln",0
32010,"Philadelphia & Maple Ave",1
32011,"Maple & Ritchie Ave",1
32012,"Silver Spring Metro/Colesville Rd & Wayne Ave",4
32013,"Montgomery & East Ln",4
32014,"Friendship Hts Metro/Wisconsin Ave & Wisconsin Cir",11
32015,"Crabbs Branch Way & Redland Rd",0
32016,"Fallsgrove Dr & W Montgomery Ave",3
32017,"Monroe St & Monroe Pl",0
32018,"Needwood Rd & Eagles Head Ct",0
32019,"East West Hwy & Blair Mill Rd",5
32020,"Crabbs Branch Way & Calhoun Pl",2
32021,"47th & Elm St",2
32022,"Garland Ave & Walden Rd",1
32023,"Montgomery College/W Campus Dr & Mannakee St",0
32024,"Fenton St & Gist Ave",4
32025,"Carroll & Westmoreland Ave",8
32026,"Carroll & Ethan Allen Ave",7
32027,"Battery Ln & Trolley Trail",5
32028,"Norfolk & Rugby Ave",3
32029,"Offutt Ln & Chevy Chase Dr",3
32030,"Broschart & Blackwell Rd",0
32031,"Taft St & E Gude Dr",0
32032,"Fleet St & Ritchie Pkwy",0
32033,"Piccard & W Gude Dr",1
32034,"Ripley & Bonifant St",5
32035,"Georgia Ave & Spring St",4
32036,"Fenton St & Ellsworth Dr ",6
32037,"King Farm Blvd & Pleasant Dr",1
32038,"King Farm Blvd & Piccard Dr",6
32039,"Old Georgetown Rd & Southwick St",2
32040,"Friendship Blvd & Willard Ave",2
32041,"Medical Center Dr & Key West Ave",1
32042,"Shady Grove Hospital",1
32043,"Veterans Pl & Pershing Dr ",0
32044,"Rockville Metro East",1
32045,"Shady Grove Metro West",5
32046,"River Rd & Landy Ln",6
32047,"Rockville Metro West",0
32048,"Bethesda Metro",16
32049,"Washington Adventist U / Flower Ave & Division St",0
32050,"Spring St & Second Ave",3
32051,"Connecticut Ave & Chevy Chase Lake Dr",2
32052,"Key West Ave & Siesta Key Way",1
32053,"Medical Center Metro ",3
32054,"Lyttonsville Rd & Lyttonsville Pl",0
32055,"Woodmont Ave & Strathmore St",5
32056,"East West Hwy & 16th St",3
